,Year,Country,Losses,ISO,Alpha_2,Continent,Zone
2991,1991,Germany,9948.0,DEU,DE,EU,Temperate
3006,1992,Albania,13518.0,ALB,AL,EU,Temperate
3023,1992,Canada,3862259.0,CAN,CA,NA,Temperate
3024,1992,Canada,231736.0,CAN,CA,NA,Temperate
3040,1992,Germany,58127.0,DEU,DE,EU,Temperate
3041,1992,Denmark,1451630.0,DNK,DK,EU,Temperate
3045,1993,Switzerland,41267.0,CHE,CH,EU,Temperate
3046,1993,Germany,56273.0,DEU,DE,EU,Temperate
3047,1993,Switzerland,787821.0,CHE,CH,EU,Temperate
3059,1993,Austria,1876.0,AUT,AT,EU,Temperate
3061,1993,Belgium,31888.0,BEL,BE,EU,Temperate
3074,1993,Belarus,187576.0,BLR,BY,EU,Temperate
3076,1993,Switzerland,3301.0,CHE,CH,EU,Temperate
3102,1993,Germany,1125458.0,DEU,DE,EU,Temperate
3103,1993,Germany,712790.0,DEU,DE,EU,Temperate
3112,1994,Austria,3656.0,AUT,AT,EU,Temperate
3118,1994,Switzerland,9140.0,CHE,CH,EU,Temperate
3126,1994,Germany,365619.0,DEU,DE,EU,Temperate
3127,1994,Germany,353737.0,DEU,DE,EU,Temperate
3128,1994,Germany,731239.0,DEU,DE,EU,Temperate
3134,1989,Spain,819685.0,ESP,ES,EU,Temperate
3136,1989,France,3497323.0,FRA,FR,EU,Temperate
3205,1990,Spain,9332460.0,ESP,ES,EU,Temperate
3215,1990,France,829552.0,FRA,FR,EU,Temperate
3216,1990,France,1866492.0,FRA,FR,EU,Temperate
3217,1990,France,124433.0,FRA,FR,EU,Temperate
3218,1990,France,124433.0,FRA,FR,EU,Temperate
3219,1990,France,124433.0,FRA,FR,EU,Temperate
3220,1990,France,414776.0,FRA,FR,EU,Temperate
3221,1990,France,476992.0,FRA,FR,EU,Temperate
3223,1990,United Kingdom of Great Britain and Northern Ireland (the),7051192.0,GBR,GB,EU,Temperate
3224,1990,United Kingdom of Great Britain and Northern Ireland (the),20739.0,GBR,GB,EU,Temperate
3225,1990,United Kingdom of Great Britain and Northern Ireland (the),124433.0,GBR,GB,EU,Temperate
3226,1990,United Kingdom of Great Britain and Northern Ireland (the),145172.0,GBR,GB,EU,Temperate
3227,1990,United Kingdom of Great Britain and Northern Ireland (the),1866492.0,GBR,GB,EU,Temperate
3228,1990,United Kingdom of Great Britain and Northern Ireland (the),725858.0,GBR,GB,EU,Temperate
3246,1990,Ireland,62216.0,IRL,IE,EU,Temperate
3247,1990,Ireland,124433.0,IRL,IE,EU,Temperate
3248,1990,Ireland,41478.0,IRL,IE,EU,Temperate
3251,1990,Italy,1825014.0,ITA,IT,EU,Temperate
3252,1990,Italy,1462085.0,ITA,IT,EU,Temperate
3253,1990,Italy,41478.0,ITA,IT,EU,Temperate
3267,1990,Luxembourg,186649.0,LUX,LU,EU,Temperate
3268,1990,Luxembourg,186649.0,LUX,LU,EU,Temperate
3269,1990,Luxembourg,10369.0,LUX,LU,EU,Temperate
3270,1990,Luxembourg,10369.0,LUX,LU,EU,Temperate
3271,1990,Luxembourg,186649.0,LUX,LU,EU,Temperate
3272,1990,Luxembourg,186649.0,LUX,LU,EU,Temperate
3275,1990,Mongolia,228127.0,MNG,MN,AS,Temperate
3281,1990,Netherlands (the),2488656.0,NLD,NL,EU,Temperate
3282,1990,Netherlands (the),373298.0,NLD,NL,EU,Temperate
3283,1990,Netherlands (the),145172.0,NLD,NL,EU,Temperate
3284,1990,Netherlands (the),124433.0,NLD,NL,EU,Temperate
3285,1990,Netherlands (the),373298.0,NLD,NL,EU,Temperate
3286,1990,Netherlands (the),124433.0,NLD,NL,EU,Temperate
3303,1990,Poland,103694.0,POL,PL,EU,Temperate
3315,1991,Romania,99481.0,ROU,RO,EU,Temperate
3320,1991,France,1535987.0,FRA,FR,EU,Temperate
3322,1991,United Kingdom of Great Britain and Northern Ireland (the),1790658.0,GBR,GB,EU,Temperate
3334,1991,Ireland,7958.0,IRL,IE,EU,Temperate
3395,1992,France,772452.0,FRA,FR,EU,Temperate
3401,1992,Hungary,741554.0,HUN,HU,EU,Temperate
3414,1992,Italy,19311.0,ITA,IT,EU,Temperate
3415,1992,Italy,1327265.0,ITA,IT,EU,Temperate
3424,1992,Lithuania,102157.0,LTU,LT,EU,Temperate
3430,1992,Netherlands (the),53299.0,NLD,NL,EU,Temperate
3433,1992,New Zealand,99453.0,NZL,NZ,OC,Temperate
3434,1992,New Zealand,193113.0,NZL,NZ,OC,Temperate
3458,1993,France,93788.0,FRA,FR,EU,Temperate
3460,1993,France,937882.0,FRA,FR,EU,Temperate
3461,1993,Italy,1172352.0,ITA,IT,EU,Temperate
3467,1993,France,1125458.0,FRA,FR,EU,Temperate
3468,1993,United Kingdom of Great Britain and Northern Ireland (the),281365.0,GBR,GB,EU,Temperate
3469,1993,United Kingdom of Great Britain and Northern Ireland (the),69403.0,GBR,GB,EU,Temperate
3493,1993,Ireland,71279.0,IRL,IE,EU,Temperate
3504,1993,Kazakhstan,68525.0,KAZ,KZ,AS,Temperate
3510,1993,Lithuania,8629.0,LTU,LT,EU,Temperate
3511,1993,Luxembourg,18758.0,LUX,LU,EU,Temperate
3522,1993,Mongolia,18758.0,MNG,MN,AS,Temperate
3527,1993,Netherlands (the),99415.0,NLD,NL,EU,Temperate
3547,1993,Korea (the Democratic People's Republic of),206334.0,PRK,KP,AS,Temperate
3556,1994,France,9140.0,FRA,FR,EU,Temperate
3557,1994,United Kingdom of Great Britain and Northern Ireland (the),164529.0,GBR,GB,EU,Temperate
3562,1994,Kyrgyzstan,65811.0,KGZ,KG,AS,Temperate
3569,1994,Netherlands (the),3656.0,NLD,NL,EU,Temperate
3579,1994,Poland,1828.0,POL,PL,EU,Temperate
3745,1992,Ukraine,3090.0,UKR,UA,EU,Temperate
3802,1993,Ukraine,150061.0,UKR,UA,EU,Temperate
3803,1993,Ukraine,298246.0,UKR,UA,EU,Temperate
3874,1994,Canada,5484.0,CAN,CA,NA,Temperate
3888,1995,Azerbaijan,11914.0,AZE,AZ,AS,Temperate
3909,1995,Austria,356.0,AUT,AT,EU,Temperate
3910,1995,Azerbaijan,9780.0,AZE,AZ,AS,Temperate
3911,1995,Azerbaijan,7113.0,AZE,AZ,AS,Temperate
3912,1995,Belgium,177821.0,BEL,BE,EU,Temperate
3932,1995,Canada,177821.0,CAN,CA,NA,Temperate
3933,1995,Canada,159150.0,CAN,CA,NA,Temperate
3935,1995,Canada,130343.0,CAN,CA,NA,Temperate
3950,1996,Canada,1260437.0,CAN,CA,NA,Temperate
3963,1996,Austria,8638.0,AUT,AT,EU,Temperate
3979,1996,Canada,173.0,CAN,CA,NA,Temperate
4011,1997,Armenia,13505.0,ARM,AM,AS,Temperate
4016,1997,Austria,295419.0,AUT,AT,EU,Temperate
4017,1997,Azerbaijan,42203.0,AZE,AZ,AS,Temperate
4027,1997,Belarus,55708.0,BLR,BY,EU,Temperate
4034,1997,Canada,16881.0,CAN,CA,NA,Temperate
4035,1997,Canada,202573.0,CAN,CA,NA,Temperate
4037,1997,Switzerland,115635.0,CHE,CH,EU,Temperate
4054,1998,Armenia,199.0,ARM,AM,AS,Temperate
4062,1998,Belgium,16623.0,BEL,BE,EU,Temperate
4083,1998,Canada,2493458.0,CAN,CA,NA,Temperate
4099,1994,Moldova (the Republic of),548429.0,MDA,MD,EU,Temperate
